original_text,textfooler_result,bertr_result,berti_result,bertir_result
I'm really disappointed all I <font color = red>have</font> now is a <font color = red>charger</font> that doesn't <font color = red>work</font>.,I'm really disappointed all I <font color = green>had</font> now is a <font color = green>changer</font> that doesn't <font color = green>jobs</font>.,I'm <font color = green>not</font> disappointed all <font color = green>they</font> have now is a <font color = green>mom</font> that doesn't <font color = green>age</font>.,AttackFailed,I'm really <font color = green>impressed</font> all I have now is a charger that doesn't <font color = green>require</font> work.
<font color = red>Painful</font> on the ear.,AttackFailed,<font color = green>mouth</font> on the ear.,Painful on <font color = green>bite</font> the ear.,<font color = green>mouth</font> on the ear.
Lasted one day and then blew up.,AttackFailed,AttackFailed,Lasted <font color = green>in</font> one day <font color = green>mike</font> and <font color = green>yours</font> then <font color = green>mike</font> blew up.,<font color = green>saw</font> one day and then <font color = green>hooked</font> up.
,AttackFailed,AttackFailed,AttackFailed,AttackFailed
<font color = red>Kind</font> of flops around.,<font color = green>Sorts</font> of flops around.,Kind of flops <font color = green>like</font>.,Kind of <font color = green>they</font> flops around.,Kind of flops <font color = green>like</font>.
The screen does <font color = red>get</font> smudged easily because it touches your ear and face.,The screen does <font color = green>got</font> smudged easily because it touches your ear and face.,The screen does <font color = green>got</font> smudged easily because it touches your ear and face.,The screen does get smudged easily because it touches <font color = green>exactly</font> your ear and face.,The screen does get smudged easily because it touches your ear and <font color = green>helps</font>.
What a piece of junk.. I <font color = red>lose</font> more <font color = red>calls</font> on this phone.,AttackFailed,What a piece of junk.. I <font color = green>saw</font> more <font color = green>photographs</font> on this phone.,AttackFailed,What a piece of junk.. I <font color = green>love</font> more calls on this phone.
<font color = red>Item</font> Does Not <font color = red>Match</font> <font color = red>Picture</font>.,<font color = green>Themes</font> Does Not <font color = green>Matchmaking</font> <font color = green>Photos</font>.,AttackFailed,Item Does <font color = green>he</font> Not Match Picture.,Item Does <font color = green>best</font> Match Picture.
The only <font color = red>thing</font> that disappoint me is the infra red <font color = red>port</font> (irda).,The only <font color = green>stuff</font> that disappoint me is the infra red <font color = green>rico</font> (irda).,The only thing that disappoint me is the <font color = green>iris</font> red <font color = green>corvette</font> (<font color = green>ship</font>).,The only thing that disappoint me is <font color = green>how</font> the infra red port (irda).,The only thing that <font color = green>interest</font> me is the infra red port (irda).
"<font color = red>You</font> can not <font color = red>answer</font> calls with the <font color = red>unit</font>, <font color = red>never</font> <font color = red>worked</font> once!",AttackFailed,"<font color = green>who</font> can not <font color = green>perform</font> calls with the <font color = green>iphone</font>, <font color = green>also</font> <font color = green>miss</font> once!","You can <font color = green>normally</font> not answer calls with the unit, never <font color = green>this</font> worked <font color = green>though</font> once!","You can <font color = green>normally</font> not answer calls with the unit, <font color = green>probably</font> worked once!"
